feedback_text,sentiment
"teachers are pretty interactive,But it all depends on the student to gain as much as knowledge he can from the teacher.Teachers are punctual and very helpful during exams time.",positive
I feel deeply dissatisfied about this the paper and would strongly warn juniors against it,negative
The evaluation was fair and the questions were aligned with what was taught in lectures,positive
The department provides brilliant academic support and the faculty is very approachable,positive
"waste ,library is not the good place to study",negative
I have learned so much this semester and the quality of sessions has been top-notch,positive
Overall the syllabus in this this class is appalling and has no practical relevance,negative
NICE TIMING..,positive
The assignment given are challenging b very interesting and promote deeper understanding,positive
they are giving good knowledge for us,positive
all are good,positive
uncertain,neutral
Sometimes study burden is that much that we can not participate in these activities ...there should b one activity complusory for every student like all other courses,negative
The internal is decent in difficulty even so feedback after results is almost nonexistent,neutral
"examination department is not good, teaching is quite good, I cant get extra time for extra knowledge, interaction is good",positive
Its required some libral in rules,negative
"maintained punctuality, good lecture delivery",positive
"examination pattern, marks, paper checking is good.",positive
library facilities are not good.They are not following the rules( they are using phones in library).,negative
most of the teacher don't even bother about the practical performed by students.They give marks just by seeing face or something like that.,negative
The syllabus covers the important topics but depth is insufficient in certain key areas,neutral
The lecturer is punctual and the class always start on time without any delays,positive
content of course is appropriate,positive
Really our library provides very good facilites for students and teachers but fine  system was not good it was directly increased upto 10.This is not a good thing.,neutral
Meh the teacher is okay not great not terrible just kind of average overall idk,neutral
The lecturer covers the required syllabus but additional examples would help students,neutral
The grading for internal is transparent and the marking scheme was clearly explained beforehand,positive
The university provides horrible academic support and the faculty is completely unapproachable,negative
All courses material provide very good knowledge in depth .,positive
"Knowledgeable is Good, Depth of course is satisfying, proper course material is also good",positive
practicals are good but evaluations are not because they don't give enough time to work,neutral
The grading for assessment is transparent and the marking scheme was clearly explained beforehand,positive
The content is inadequate and the study materials provided are unacceptable,negative
excllent,positive
This the subject is a complete waste of time ngl the topics is totally useless,negative
Library facilities are very good. No issues,positive
Every classe is productive and the prof never wastes time,positive
I find the classes very engaging and the professor uses brilliant examples,positive
very strcitly they evaluted marks,negative
I feel moderately engaged about this this course as it has both its strengths and its weaknesses,neutral
exam pattern is good and marks distribution is also good but paper checking is too hard,neutral
its hard to find a computer working in lab. Students cannot save data in one single PC,negative
Most the lesson are unproductive and the prof wastes enormous amounts of time,negative
it helps in building up university's reputation.,positive
examination pattern was excellent,positive
I have learned almost nothing this semester and the quality of classes has been dreadful,negative
Well and Good,positive
Its fine but it should focus more towards practical knowledge rather than content based. It would be helpful for us.,neutral
every thing is fine.,positive
The department provides poor academic support and the faculty is completely unapproachable,negative
practicals are pretty well.,positive
The the lesson are adequate though the pace needs to be adjusted for most students,neutral
The curriculum covers the important topics however depth is insufficient in certain key areas,neutral
Labs helps to know how the work is done.It thought me a good lessons.,positive
excellent university  the mode of teaching is completely different than any other university in india. lecturers are very friendly with every one they interact just like friends and they are very punctual,positive
The instructor teaches curriculum sloppily and students are always confused,negative
some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++),negative
The curriculum is comprehensive and the study materials provided are great,positive
it is not very deep,negative
Teaching methodology is unacceptable and the teacher rushes through topics ineffectively,negative
The instructor presents without any enthusiasm which makes students completely disengaged,negative
I think number of books are very less according to the students .Only 2-3 copies are available.,negative
The teacher sometimes engages students well though other times the delivery is very dull,neutral
Teaching methodology is top-notch and the instructor covers all topics wonderfully,positive
some books are not available. So please provide,negative
Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth.,positive
in lab also they are showing parilaty,negative
I could not understand a single the class this entire semester,negative
"excellent, but reduse the speed of teaching  ,up to understand the students",neutral
exam pattern is very nice but paper checking is not at all good .,neutral
"interaction satisfied, lecture delivery good,punctuality always on time",positive
extracurricular activities increases mental and physical abilities,positive
Teaching quality is okay however some topics are explained much better than others,neutral
the level of examination should be raised. Questions with reasoning must be included,negative
I feel really disappointed about this this class and would strongly warn juniors against it,negative
book issuing time should be increased for 2 weeks,negative
"lecture delivery depends on teacher's knowledge, punctuality is good",positive
it is good leaning in lab but the lab instruments are not properly working,neutral
The material is up to date and has strong practical relevance to industry requirements,positive
The instructor is mostly punctual on the other hand the lesson sometimes start a bit late,neutral
these are very use full to the sudents forphysical activity and improvement of knowledge,positive
the labs are not practically built,negative
Some the lesson are productive although others feel like a complete waste of valuable time,neutral
Not so good,negative
The prof explains everything so well tbh I have never understood course content this clearly,positive
I feel neither happy nor sad about this this class as it has both its strengths and its weaknesses,neutral
Teaching methodology is superb and the faculty member covers all topics expertly,positive
"before coming to lpu i thought sports were very good n encouraging.but, there are many politics in sports especially in cricket.",negative
The grading is acceptable even so the criteria could be made more transparent and clear,neutral
The university has fantastic infrastructure and the facilities support learning well,positive
The lab are well organised and the faculty member explains procedures skillfully,positive
I appreciate how the instructor encourages questions and makes the classroom environment comfortable,positive
"I have no words to say about our library facilities,,,,,,,, SIMPLY AWESOME",positive
Overall the syllabus provided in this this course is impressive and very relevant,positive
extracurricular activities are also good,positive
lab practicals and evaluations are below average and need lot of changes and improvements,negative
there are doing there job good,positive
Overall the material in this the module is pathetic and has no practical relevance,negative
The prof has domain knowledge yet struggles to convey it effectively to students,neutral
average 3.5/5,neutral
"as per libraries, few books are not available and in computer library there are hardly 5 PCs working",negative
The prof helps students brilliantly and is always available for doubt clarification,positive
good and ample number of extracurricular activities take place,positive
"Well... all the books are not avilable . If they are in library , books are in less number and strength of student are large.",negative
Excellent but it depends upon teacher,positive
I am genuinely impressed with the way this class is being handled this semester,positive
university management is extordinary but some of the faculty is very bad,neutral
The institution schedule is mostly followed though occasional disruptions are still an issue,neutral
I am quite pleased with the way the module is being handled this semester,positive
The prof presents syllabus clearly and makes every lecture engaging,positive
I dread attending lectures because the professor makes every topic more confusing,negative
"good it is, but teachers do not consider the new ones.",neutral
The lecturer sometimes engages students well nevertheless other times the delivery is very dull,neutral
The teacher is punctual and the lesson always start on time without any delays,positive
very bad,positive
The quiz tests what is taught that said the level of difficulty varies quite significantly,neutral
I feel moderately engaged about this the module as it has both its strengths and its weaknesses,neutral
I find the the lesson very engaging and the prof uses fantastic examples,positive
"it is quite good , depending on teacher and their experience",positive
i hate it,negative
The exam pattern is well designed and tests actual understanding rather than memorisation,positive
Feedback on task exists despite this is too brief to be genuinely useful for improvement,neutral
"I am very much satisfied with teaching faculty interms of iteraction,lecture delivery, punctuality etc",positive
"It's good 
Also depends on teacher's knowledge and student's interest",positive
The instructor does not explain course content clearly and does not encourage any student participation,negative
it is good depending on the faculty,positive
NOT GOOD ...,negative
practicle must be of 2 hours,negative
Very good indeed.,positive
The prof conducts without any enthusiasm which makes students completely disengaged,negative
very good library facilities. Issuing time of book must be increased,positive
The assignment are acceptable on the other hand the deadlines are sometimes a bit tight,neutral
I feel somewhat satisfied about this the paper as it has both its strengths and its weaknesses,neutral
everything is good.,positive
Its good and proper design,positive
bad,negative
The institution has great infrastructure and the facilities support learning well,positive
i dont know,neutral
"Its the best thing i have seen in this university,albeit the behaviour of library staff is unprofessional at times. They are whimsically rude.",neutral
very good there we can find several course books and we can find several reference books also...,positive
The lectures are alright I guess nothing special nevertheless nothing terrible either tbh,neutral
Honestly the professor is top notch and always goes above and beyond for students,positive
Its nice .,positive
The assignment are okay that said the deadlines are sometimes a bit tight,neutral
The prof covers the required content even so additional examples would help students,neutral
The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem,neutral
it is good,positive
all are enough,positive
duration of issuing   books from library should be changed from 1week to 2 week that would be great.,negative
its  booring,neutral
normal,neutral
very good and you can also increase the standard of Courses,positive
The prof is reasonable nevertheless could improve the delivery style significantly,neutral
The instructor conducts material badly and students are always confused,negative
The university has very good infrastructure and the facilities support learning well,positive
The faculty member has domain knowledge on the other hand struggles to convey it effectively to students,neutral
very poor,negative
The sessions are alright I guess nothing special nevertheless nothing terrible either tbh,neutral
Overall the curriculum in this this class is poor and has no practical relevance,negative
The teacher connects theory with real world applications clearly in every session,positive
"i've never went to library in lpu.so,i don't know about that.",neutral
The instructor is approachable enough though not always available when students need help,neutral
Feedback on assignment exists despite this is too brief to be genuinely useful for improvement,neutral
The professor encourages students expertly and is always available for doubt clarification,positive
intraction is good and leacture delivery also good and then punctuality is also is good,positive
some teachers aren't doing their jobs in very well manner,negative
The prof covers material confusingly and students are always confused,negative
depth of course is less on the other hand knowledge and material is good,neutral
The prof does not explain syllabus clearly and does not encourage any student participation,negative
The teacher presents with great enthusiasm which keeps students motivated,positive
The lab session are average despite this the equipment could be better maintained,neutral
The prof presents curriculum p on the other hand there is room for improvement,neutral
Easily available course material with sufficient knowledge gaining,positive
Content of the courses is good but some courses need improvement. Course material is not upto the mark.,negative
They are good,positive
The assessment was wayyyy too hard and the entire course content was not even covered properly bruh,negative
Its give various opportunities and exposure,positive
content of courses are average,neutral
Teaching quality is adequate though some topics are explained much better than others,neutral
"our university is good in punctuality,lecture delivery but it is not good in terms of interaction",positive
The task are reasonable though the deadlines are sometimes a bit tight,neutral
The workshop are well organised and the teacher explains procedures excellently,positive
The task are mediocre yet the deadlines are sometimes a bit tight,neutral
library facilities is good,positive
According to me students are doing lab only for marks .,negative
"Interaction is satisfying, Lecture delivery is Good, Punctuality is Excellent",positive
Teaching methodology is poor and the instructor rushes through topics hastily,negative
Some the lesson are good some are not so much honestly hard to rate this the paper,neutral
The prof never guides students and is rarely available for consultation,negative
The classes are reasonable although the pace needs to be adjusted for most students,neutral
I genuinely enjoy attending the class because the teacher makes even complex topics simple,positive
for some subjects like maths and english(passage writing) the time duration neds to increase,negative
"some time lab is not proper working , some teacher's practical knowledge is less on the other side evaluations is not that much good",negative
lab is very much helpful,positive
content provided by you is excellent so that we learnt more and more about that particular subject,positive
The lecturer never mentors students and is rarely available for consultation,negative
courses are also good .but lt of subjects in cse departments at 1st year it feels like burden upon us,neutral
The professor encourages students patiently and is always available for doubt clarification,positive
I have learned so much this semester and the quality of the lesson has been exceptional,positive
Activities are not up to the mark as  advertisement.,negative
IT IS GOING GOOD,positive
The content is completely outdated and has no relevance to current industry standards,negative
The grading is mediocre though the criteria could be made more transparent and clear,neutral
strict paper correction.,negative
The professor covers syllabus sloppily and students are always confused,negative
Teaching methodology is dreadful and the instructor rushes through topics poorly,negative
Overall the material provided in this the paper is superb and very relevant,positive
I am somewhat satisfied with the way the module has been handled overall this semester,neutral
Group projects are well supervised and the prof provides top-notch guidance throughout,positive
"The evaluation is again bad for our CA, as one of our faculty is really weird. He gives us remarks on the basis of how we present things in front of it, he never look for the content of our answer, which is really annoying. As he expects us to deliver answer in the way he wants us to do. But how can a person do that, as people do have different mentality and they do explain themselves in different manner, so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say.",negative
The institution provides the basic academic requirements although does not go above and beyond,neutral
they are going excellent,positive
The material covers the important topics yet depth is insufficient in certain key areas,neutral
The lectures are acceptable but the pace needs to be adjusted for most students,neutral
GOOD,positive
The material is comprehensive and the study materials provided are fantastic,positive
GOOD AND STRICT,positive
it is good learning these courses,positive
THEY IS NO PROBLEM WITH THEM,negative
All is good .,positive
the content of the course is knowledgeable,positive
The practical session are well organised and the prof explains procedures patiently,positive
books are not available,negative
pattern of examination is good but paper checking is not at all going in a good way.,neutral
The practical session are average that said the equipment could be better maintained,neutral
The semester has been average with both positives and areas that need significant attention,neutral
I find the classes very engaging and the instructor uses outstanding examples,positive
The professor is mostly punctual although the lesson sometimes start a bit late,neutral
The faculty member does not explain syllabus clearly and does not encourage any student participation,negative
lab work is also good,positive
they are showing partiality between north indians and south indians,negative
The test was wayyyy too hard and the entire material was not even covered properly bruh,negative
The prof sometimes engages students well however other times the delivery is very dull,neutral
lab and practical work are litial good,positive
I feel quite pleased about this this class and would recommend it to juniors,positive
The professor connects theory with real world applications expertly in every session,positive
all activties are good,positive
The test was okay nevertheless some questions felt slightly out of syllabus,neutral
excellent..... u r the best in providing facilties and etc .. for extra curricular activities,positive
There are no sufficient lab equipments in the labs and the avilable euipments are also not perfect.,negative
The prof explains everything so well tbh I have never understood curriculum this clearly,positive
The semester has been passable with both positives and areas that need significant attention,neutral
According to me everything is going well in accordance to interaction.More than enough is served.,positive
Again some of the faculties don't know how to behave otherwise it is good.,neutral
extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them.,positive
content of courses improves my knowledge,positive
The evaluation questions are ambiguous and the grading process lacks complete transparency,negative
I feel really enjoying it about this this class and would recommend it to juniors,positive
I genuinely enjoy attending sessions because the faculty member makes even complex topics simple,positive
Every the clas is productive and the professor never wastes time,positive
The exam was completely unfair and questions were unrelated to what was covered in the class,negative
"Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good",positive
marks distribution is good but paper checking is not that well,neutral
Complete wastage of time. Again this opinion is strictly personal and may not coincide with others.,negative
The university has great infrastructure and the facilities support learning well,positive
library facility is good,positive
The college provides the basic academic requirements but does not go above and beyond,neutral
I am really disappointed with the way this class has been managed this semester,negative
The prof is mediocre yet could improve the delivery style significantly,neutral
sometime it is irrelevent with the ongoing courses.,negative
Some the class are good some are not so much honestly hard to rate this the module,neutral
The submission given are challenging b very interesting and promote deeper understanding,positive
excellent,positive
I feel truly engaged about this the module and would recommend it to juniors,positive
The faculty member sometimes engages students well that said other times the delivery is very dull,neutral
VERY NICE....BUT BOOKS ARE NOT AVAILABE EVERY TIME,neutral
average(in one term there should be only two major subjects based on numerical),neutral
Capacity of library is less compared to size of university.,negative
exam pattern and marks distribution are good,positive
not much interested,neutral
"Exam pattern Very good, Marks distribution good but sometimes disappointing, paper checking OK",positive
course material is perfect,positive
In my opnion very less content is their in our syllabus..it will be good if there is more syllabus and depth included in our syllabus,negative
The grading for test is transparent and the marking scheme was clearly explained beforehand,positive
"Exams are conducted upon the the basis of the revised chapters upto that point, marks distribution is appropriate, paper checking is good",positive
they are amazing and help to boost our stamina.,positive
Teachers are not giving depth of course . They trying to cover there work only .,negative
It is so good.,positive
The exam was completely unfair and questions were unrelated to what was covered in classes,negative
satisfactory,positive
I feel genuinely impressed about this the module and would recommend it to juniors,positive
Good marks distribution Students can easily check there performance throught the semester,positive
i love it,positive
The faculty member is punctual and lectures always start on time without any delays,positive
The faculty member presents content wonderfully and makes every the lesso engaging,positive
The evaluation is reasonable in difficulty nevertheless feedback after results is almost nonexistent,neutral
it is not appropriate,negative
teaching delivery is good .but it is better to reduce there speed of  lecture delivery to understand the student better,neutral
"Everything is very good. Interaction part is something like teachers mostly interact with each and every student, lecture delivery is very good and punctuality always maintains.",positive
The classes are alright I guess nothing special although nothing terrible either tbh,neutral
very well,positive
Overall the material in this this class is disappointing and has no practical relevance,negative
pretty good,positive
that is only good in this university,positive
every thing is excllent but paper checking is not good,neutral
The exam was wayyyy too hard and the entire content was not even covered properly bruh,negative
The content is comprehensive and the study materials provided are exceptional,positive
course content is knowledgeable,positive
I feel very frustrated about this this class and would strongly warn juniors against it,negative
I find the sessions very engaging and the professor uses excellent examples,positive
laboratory provides us a good knowledge about practicals.,positive
The lecturer never encourages students and is rarely available for consultation,negative
I find the the lesson very engaging and the faculty member uses impressive examples,positive
The prof covers the required syllabus on the other hand additional examples would help students,neutral
The practical session are moderate even so the equipment could be better maintained,neutral
"Excellent exam pattern, paper checking in this university is easy",positive
I like reading books in Library,positive
Group projects are organised but supervision from the lecturer is sometimes insufficient,neutral
Practical work is in interesting but different teachers evaluate in their own way. Some of the teachers in some section  give marks without taking viva and some does not give marks accordingly,negative
all labs and practical going on well,positive
excellent work,positive
ok,positive
The test was wayyyy too hard and the entire content was not even covered properly bruh,negative
Every sessions is productive and the teacher never wastes time,positive
One of the best things I like about this university. The best of all.,positive
Interaction is good but it should b more ...rest is too perfect,positive
The teacher teaches content poorly and students are always confused,negative
I feel neither impressed nor disappointed about this the module as it has both its strengths and its weaknesses,neutral
Satisfied knowedgeable and proper course material,positive
The department provides exceptional academic support and the faculty is very approachable,positive
The assessment was okay though some questions felt slightly out of syllabus,neutral
The prof never helps students and is rarely available for consultation,negative
The internal tests what is taught though the level of difficulty varies quite significantly,neutral
very strict,negative
I genuinely enjoy attending classes because the lecturer makes even complex topics simple,positive
Our labs do not have all facalities.,negative
Its good,positive
The university provides terrible academic support and the faculty is completely unapproachable,negative
I WAS A STUDENT OF A BOARDING SCHOOL .....(jnv) I STUDIED FOR 7  YEARS THERE RESIDING IN HOSTEL ..NOW LIVING IN LPU IS SAME LIKE THAT..AND STILL MORE SAME AND PUNCTUALITY IS SHOWN HERE BY BOTH TEACHERS AND STUDENTS...AND ALSO BY THE STAFF..          SECURITY IS ABOVE 90%(IN CASE OF  STUDENT IS WELL MANURED)  ....CLASSES REGULAR ....SPORTS DAILY.....PARTICIPATION WELL/.......QUALITY BELOW AVERAGE,neutral
The internal was fair and the questions were aligned with what was taught in lectures,positive
Most lectures are unproductive and the professor wastes enormous amounts of time,negative
library facilities are good for students.,positive
Library is vast and has got wide variety of books But I think more number of specimen copies of books should be made available,neutral
This semester university has provide best teachers,positive
content of course is ample but depth must be more,neutral
The lab are moderate that said the equipment could be better maintained,neutral
some of them are very helpful and knowledgeable and some are just formality,neutral
everything was good.,positive
I think stock is not enough more books are required.,negative
super but paper checking is not good,neutral
The teacher is approachable enough despite this not always available when students need help,neutral
I am quite pleased with the way the subject is being handled this semester,positive
The prof is approachable enough that said not always available when students need help,neutral
Overall the material in this this course is acceptable and covers the basic requirements,neutral
Teaching methodology is appalling and the instructor rushes through topics lazily,negative
The the lesson are extremely boring and the professor shows no interest in teaching,negative
content does not provide deep knowledge,negative
The test pattern is well designed and tests actual understanding rather than memorisation,positive
good enough.,positive
The university consists of a whole world in itself.It is diverse and manages to conduct all events properly.I love being the part of this university where we get equal and all opportunities in all respects and fields.,positive
I am very confident with the way the paper is being handled this semester,positive
